file	workflow_name	triggers	job_ids	job_names	schedule	concurrency	environments	permissions	artifacts	retention_days	reusable_workflows	secret_names	mutation_risk	size_bytes
ab-testing.yml	A/B Testing Infrastructure	schedule,workflow_dispatch	evaluate-experiments,validate-experiment-config	Evaluate Running A/B Experiments,Validate Experiment Configuration	0 */6 * * *	ab-testing		permissions: contents: write issues: write					write-capable	9550
accessibility.yml	Accessibility CI	pull_request,push	axe-audit,pa11y-audit	axe-core WCAG 2.1 AA Audit,pa11y WCAG 2.1 Audit		a11y-${{ github.ref }}		permissions: contents: read	axe-accessibility-results,pa11y WCAG 2.1 Audit,pa11y-accessibility-results	14			read-only	6277
ai-agent-observability.yml	AI Agent Observability	push,schedule,workflow_dispatch	agent-observability		0 */6 * * *	agent-observability		permissions: contents: read issues: write	ai-agent-observability-report	30			write-capable	8733
ai-model-governance.yml	AI Model Governance	pull_request,push,schedule,workflow_dispatch	model-governance,model-health-check,model-validation	AI Model Governance Report,Model Health Check,Validate Model Configuration	0 8 * * *	ai-model-governance-${{ github.ref }}	production	permissions: contents: read issues: write	ai-model-governance-report	30		MODEL_GOVERNANCE_TOKEN	write-capable	10164
ai-model-pipeline.yml	AI Model Pipeline	pull_request,push,workflow_dispatch	model-build,model-test	Build AI Model,Test AI Model		ai-model-pipeline-${{ github.ref }}		permissions: contents: read packages: write	ai-model-build	14			write-capable	5255
ai-safety-guardrails.yml	AI Safety Guardrails	pull_request,push,schedule,workflow_dispatch	policy-check,safety-regression,validate-guardrails	AI Safety Regression Sweep,Guardrail Policy Validation,Validate AI Guardrail Configuration	0 2 * * *	ai-safety-${{ github.ref }}		permissions: contents: read issues: write	ai-safety-results	30			write-capable	14156
api-contract-testing.yml	API Contract Testing	pull_request,push,schedule,workflow_dispatch	contract-test,openapi-diff,staging-contract-test	API Contract Tests,OpenAPI Diff,Staging Contract Tests	0 */6 * * *	api-contract-${{ github.ref }}	staging	permissions: contents: read pull-requests: write	api-contract-results,openapi-diff	14		API_BASE_URL,E2E_TEST_PASSWORD,E2E_TEST_EMAIL	write-capable	6129
artifact-provenance.yml	Artifact Provenance	push,release,workflow_dispatch	attest-build,verify-provenance	Attest Build Provenance,Verify Artifact Provenance		artifact-provenance-${{ github.ref }}		permissions: contents: read id-token: write attestations: write	artifact-provenance	90			write-capable	4465
auto-dependency-upgrade.yml	Automated Dependency Upgrades	schedule,workflow_dispatch	create-upgrade-pr,scan-updates	Create Dependency Upgrade PR,Scan Available Updates	0 3 * * 2	auto-dependency-upgrade		permissions: contents: write pull-requests: write	dependency-upgrade-report	14		GITHUB_TOKEN	write-capable	6939
auto-fix.yml	Automated Fixes	schedule,workflow_dispatch	auto-fix	Run Automated Fixes	0 */6 * * *	auto-fix		permissions: contents: write pull-requests: write				GITHUB_TOKEN	write-capable	1794
auto-merge-snyk.yml	Auto Merge Snyk PRs	pull_request	auto-merge-snyk	Auto Merge Approved Snyk PR		auto-merge-snyk-${{ github.event.pull_request.number }}		permissions: contents: write pull-requests: write				GITHUB_TOKEN	write-capable	2268
auto-merge.yml	Auto Merge	check_suite,pull_request	auto-merge	Auto Merge Approved PR		auto-merge-${{ github.event.pull_request.number || github.run_id }}		permissions: contents: write pull-requests: write				GITHUB_TOKEN	write-capable	1154
autonomous-remediation.yml	Autonomous Remediation	schedule,workflow_call,workflow_dispatch	assess,execute,notify,rollback,validate,verify	Assess Incident,Execute Remediation,Notify Operators,Rollback if Needed,Validate Inputs,Verify Recovery	*/15 * * * *	autonomous-remediation-${{ github.run_id }}	production	permissions: contents: write deployments: write issues: write	remediation-evidence	30		GITHUB_TOKEN,SLACK_WEBHOOK_URL	deployment-or-mutation	15043
azure-container-apps-deploy.yml	Azure Container Apps Deploy	pull_request,push,workflow_dispatch	build,deploy,smoke-test	Build Container,Deploy to Azure Container Apps,Smoke Test Deployment		azure-container-apps-${{ github.ref }}	production,staging	permissions: contents: read id-token: write packages: write	azure-deploy-evidence	30		AZURE_CLIENT_ID,AZURE_SUBSCRIPTION_ID,AZURE_TENANT_ID	deployment-or-mutation	15668
billing-reconciliation.yml	Billing Reconciliation	schedule,workflow_dispatch	reconcile-billing	Reconcile Provider Billing	0 10 * * 1	billing-reconciliation		permissions: contents: read issues: write	billing-reconciliation-report	90		STRIPE_SECRET_KEY	write-capable	8471
build.yml	CI - Hardened Build Pipeline	pull_request,push,workflow_dispatch	backend-build,frontend-build,security-scan,summary	Backend Build,Frontend Build,Security Scan,Summary		build-${{ github.ref }}		permissions: contents: read	backend-build-artifacts,frontend-build-artifacts	14			read-only	5313
bundle-size.yml	Bundle Size Check	pull_request	bundle-size	Bundle Size Check		bundle-size-${{ github.event.pull_request.number }}		permissions: contents: read pull-requests: write	bundle-analysis	14		GITHUB_TOKEN	write-capable	4558
chaos-engineering.yml	Chaos Engineering	schedule,workflow_dispatch	chaos-test,prepare,report,rollback	Execute Chaos Test,Prepare Chaos Experiment,Report Results,Rollback Chaos Experiment	0 10 * * 3	chaos-engineering-${{ github.run_id }}	production,staging	permissions: contents: read issues: write	chaos-engineering-report	30		KUBECONFIG	deployment-or-mutation	15726
ci-analytics.yml	CI Analytics	schedule,workflow_dispatch,workflow_run	analyze-ci	Analyze CI Performance	0 6 * * *	ci-analytics		permissions: actions: read contents: read issues: write	ci-analytics-report	30		GITHUB_TOKEN	write-capable	6952
ci-auth-debugger.yml	CI Auth Debugger	pull_request,workflow_dispatch	debug-auth	Debug Authentication Pipeline		ci-auth-debugger-${{ github.ref }}		permissions: contents: read	auth-debug-report	7			read-only	2512
ci-baseline-metrics.yml	CI Baseline Metrics	push,schedule,workflow_dispatch	collect-baseline	Collect CI Baseline Metrics	0 0 * * *	ci-baseline-metrics		permissions: actions: read contents: read	ci-baseline-metrics	30		GITHUB_TOKEN	read-only	6142
code-quality-gates.yml	Code Quality Gates	pull_request,push	backend-quality,frontend-quality,lint,summary	Backend Quality,Frontend Quality,Lint,Quality Gate Summary		code-quality-${{ github.ref }}		permissions: contents: read	code-quality-results	14			read-only	7975
codeql.yml	CodeQL SAST	pull_request,push,schedule	analyze	CodeQL Analysis	0 8 * * 1	codeql-${{ github.ref }}		permissions: actions: read contents: read security-events: write					write-capable	3670
