workflow	has_top_perms	write_all	id_token_write	contents_write	actions_write	packages_write	secret_refs	secret_names	flags
ab-testing.yml	yes	no	no	yes	no	no	0	-	-
accessibility.yml	no	no	no	no	no	no	0	-	NO_TOP_PERMS
ai-agent-observability.yml	yes	no	no	no	no	no	1	OTEL_ENDPOINT	-
ai-model-governance.yml	yes	no	no	no	no	no	0	-	-
ai-model-pipeline.yml	no	no	yes	no	no	no	2	AWS_ROLE_ARN,HUGGINGFACE_TOKEN	NO_TOP_PERMS
ai-safety-guardrails.yml	yes	no	no	no	no	no	0	-	-
api-contract-testing.yml	yes	no	no	no	no	no	1	STAGING_API_TOKEN	-
artifact-provenance.yml	yes	no	yes	no	no	no	0	-	-
auto-dependency-upgrade.yml	yes	no	no	yes	no	no	1	GITHUB_TOKEN	-
auto-fix.yml	no	no	no	yes	no	no	1	GITHUB_TOKEN	NO_TOP_PERMS
auto-merge-snyk.yml	yes	no	no	yes	no	no	1	GH_TOKEN	-
auto-merge.yml	no	no	no	no	no	no	1	GITHUB_TOKEN	NO_TOP_PERMS
autonomous-remediation.yml	yes	no	no	no	no	no	0	-	-
azure-container-apps-deploy.yml	yes	no	yes	no	no	yes	7	AZURE_CLIENT_ID,AZURE_CLIENT_SECRET_VALUE,AZURE_STORAGE_ACCOUNT,AZURE_SUBSCRIPTION_ID,AZURE_TENANT_ID,GITHUB_TOKEN,SLACK_WEBHOOK_URL	SECRET_HEAVY
billing-reconciliation.yml	yes	no	no	no	no	no	1	GITHUB_TOKEN	-
build.yml	no	no	no	no	no	no	2	CODECOV_TOKEN,OPENAI_API_KEY	NO_TOP_PERMS
bundle-size.yml	no	no	no	no	no	no	1	GITHUB_TOKEN	NO_TOP_PERMS
chaos-engineering.yml	yes	no	no	no	no	no	0	-	-
ci-analytics.yml	yes	no	no	no	no	no	1	GITHUB_TOKEN	-
ci-auth-debugger.yml	no	no	no	no	no	no	2	GH_PAT,GITHUB_TOKEN	NO_TOP_PERMS
ci-baseline-metrics.yml	yes	no	no	no	no	no	0	-	-
code-quality-gates.yml	yes	no	no	no	no	no	1	GITHUB_TOKEN	-
codeql.yml	no	no	no	no	no	no	0	-	NO_TOP_PERMS
